Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
Intel Core i5-1235U;Intel;Alder Lake-U;Alder Lake-M;147;9.5;15;900;10;10;x86;266;Iris Xe G7 80EUs;NA;NA;NA
Intel Core i5-1038NG7;Intel;Ice Lake-U;Ice Lake;103;2;28;2000;4;10;x86;876;Iris Plus Graphics G7 (Ice Lake 64 EU);6743;9.45;NA
Intel Core i7-9700K;Intel;Coffee Lake-R;Coffee Lake;403;2;95;3600;8;14;x86;1450;UHD Graphics 630;7653;7.74;8.1
Intel Core i5-12500H;Intel;Alder Lake-P;Alder Lake-P;376;10;45;1800;12;10;x86;266;Iris Xe G7 80EUs;NA;NA;NA
Intel Core i5-7500;Intel;Kaby Lake;Kaby Lake;120;1;65;3400;4;14;x86;2093;HD Graphics 630;NA;9;3.2
Intel Core i7-4710MQ;Intel;Haswell;Core i7;103;1;47;2500;4;22;x86;3088;HD Graphics 4600;4962.5;NA;NA
Intel Core i7-6820HK;Intel;Skylake;Core i7;109;1;45;2700;4;14;x86;2583;HD Graphics 530;5653;10.3;3.9
Intel Core i5-7440HQ;Intel;Kaby Lake;Kaby Lake;115;1;45;2800;4;14;x86;2093;HD Graphics 630;NA;9.89;NA
Intel Core i5-8257U;Intel;Coffee Lake-U;Coffee Lake;154;1;15;1400;4;14;x86;1175;Iris Plus Graphics 645;NA;NA;NA
AMD Ryzen 7 2700X;AMD;Zen+;Ryzen 7;420;4;105;3700;8;12;x86;1629;newitem;5256;10.8;10.6
AMD Ryzen 3 4300U;AMD;Renoir (Zen 2);Renoir (Ryzen 4000 APU);118;2;15;2700;4;7;x86;994;Vega 5;NA;NA;3.2
Intel Core i5-8350U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;90;1;15;1700;4;14;x86;1863;UHD Graphics 620;5460.5;10.94;4.05
AMD Ryzen 5 3550H;AMD;Zen+;Picasso (Ryzen 3000 APU);128;2;35;2100;4;12;x86;1360;Vega 8;4592;11.91;4.7
AMD Ryzen 7 1800X;AMD;Zen;Ryzen 7;289;4;95;3600;8;14;x86;2035;newitem;5062;12.7;9.7
AMD Ryzen 5 5600U;AMD;Cezanne U (Zen 3);Cezanne (Zen 3, Ryzen 5000);260;3;25;2300;6;7;x86;628;Vega 7;5674;8.54;6.4
Intel Core i5-4590;Intel;Haswell;Core i5 (Desktop);150;1;84;3300;4;22;x86;3101;HD Graphics 4600;5479;NA;NA
Intel Core i9-12900;Intel;Alder Lake;Alder Lake-S;799;14;65;2400;16;10;x86;266;UHD Graphics 770;8949;NA;17.2
Intel Core i5-10300H;Intel;Comet Lake-H;Comet Lake;140;1;45;2500;4;14;x86;908;UHD Graphics 630;7130;8.72;3.1
AMD Ryzen 5 2600;AMD;Zen+;Ryzen 5;126;4;65;3400;6;12;x86;1628;newitem;4726;11.17;7.5
Intel Core i7-2670QM;Intel;Sandy Bridge;Core i7;52;1;45;2200;4;32;x86;3982;HD Graphics 3000;3899.5;NA;2.7
Intel Core i7-1165G7;Intel;Tiger Lake UP3;Tiger Lake;252;5;28;2800;4;10;x86;756;Iris Xe G7 96EUs;8645;7.21;5.7
AMD Ryzen 9 6900HS;AMD;Rembrandt H (Zen 3+);Rembrandt (Zen 3+);859;4;35;3300;8;6;x86;266;Radeon 680M;6403;7.4;11.9
AMD Ryzen 7 5800U;AMD;Cezanne U (Zen 3);Cezanne (Zen 3, Ryzen 5000);395;4;25;1900;8;7;x86;628;Vega 8;6039;9.83;NA
Intel Core i5-2400;Intel;Sandy Bridge;Core i5 (Desktop);81;1;95;3100;4;32;x86;4285;HD Graphics 2000;4425;11.1;2.4
Intel Core i7-10750H;Intel;Comet Lake-H;Comet Lake;340;1.5;45;2600;6;14;x86;908;UHD Graphics 630;7376.5;8.3;7.6
